accuracy,loss,val_accuracy,val_loss
0.6060000061988831,0.6540879607200623,0.7300000190734863,0.5375382900238037
0.6778571605682373,0.5959822535514832,0.7473333477973938,0.5112414360046387
0.7059999704360962,0.5694890022277832,0.7760000228881836,0.4713853895664215
0.7347142696380615,0.5350915789604187,0.7953333258628845,0.4423506259918213
0.744857132434845,0.5220729112625122,0.8140000104904175,0.43057024478912354
0.7632856965065002,0.501710057258606,0.8053333163261414,0.4251288175582886
0.7739999890327454,0.4758838713169098,0.8106666803359985,0.41576510667800903
0.7897142767906189,0.46501147747039795,0.8220000267028809,0.39293980598449707
0.7958571314811707,0.4519421458244324,0.8013333082199097,0.42801401019096375
0.798285722732544,0.4465068280696869,0.8320000171661377,0.3820725083351135
0.7944285869598389,0.4437662661075592,0.843999981880188,0.37249311804771423
0.8025714159011841,0.43481796979904175,0.8386666774749756,0.3747083246707916
0.8018571138381958,0.43465423583984375,0.8259999752044678,0.3908105492591858
0.8084285855293274,0.42530614137649536,0.840666651725769,0.37471234798431396
0.8084285855293274,0.4297296702861786,0.8246666789054871,0.4345618188381195
